id,lable_talf,geometry
2,agri,"POLYGON ((216823.85170143636 4049088.5590538722, 216745.66327653723 4049086.5479338714, 216590.65795583837 4049096.2340516564, 216407.12704086764 4049116.103004809, 216284.2433409663 4049165.7721322034, 216246.84315808082 4049216.0192905255, 216247.71290933437 4049215.974859827, 216253.7044629938 4049215.3048346126, 216461.50582645604 4049179.272419645, 216654.04894138093 4049184.2245541243, 216837.4346513305 4049188.9415012887, 216940.61973535153 4049191.5957616754, 216823.85170143636 4049088.5590538722))"
3,agri,"POLYGON ((214554.3074736311 4048726.8279274753, 214509.51743437778 4048706.5783422296, 214618.02827797196 4048770.5741624963, 214554.3074736311 4048726.8279274753))"
3,agri,"MULTIPOLYGON (((214515.9205576243 4049482.4428958553, 214592.00563136674 4049477.6871287655, 214590.05685792427 4049477.34322757, 214585.7288469518 4049476.77297419, 214581.36759122965 4049476.582405511, 214495.58762791776 4049476.5824055085, 214515.9205576243 4049482.4428958553)), ((214837.24034770572 4049556.523410373, 214901.1891093016 4049621.0027837055, 214976.31980482308 4049727.580781415, 215000.82745184476 4049845.8754957262, 214981.10932633944 4049941.2551357322, 214974.63360142836 4049944.632676371, 214963.1736842224 4050013.392179609, 214909.3741834294 4050051.820394471, 214866.54522675686 4050066.0967133576, 214731.3464858692 4050020.857599941, 214726.45985614273 4050019.4938908503, 214721.46018845943 4050018.6323946957, 214716.39895710314 4050018.281981046, 214711.3282701889 4050018.4462575987, 214606.36213404467 4050027.193435607, 214610.22589689132 4050032.9135474116, 214632.0722937188 4050108.5704098437, 214636.6846896135 4050125.0131774666, 214709.37551429 4050118.9556087465, 214850.64896599285 4050166.227392954, 214855.076708737 4050167.4855432143, 214859.60139180892 4050168.331173739, 214864.1846678899 4050168.757117692, 214868.7876930774 4050168.759765139, 214873.3714560924 4050168.3390936423, 214877.8971089055 4050167.498668452, 214882.32629597932 4050166.2456122874, 214948.12952285283 4050144.3112033354, 214952.76321837024 4050142.505960705, 214957.19467083144 4050140.249356135, 214961.3800442465 4050137.5637119887, 215038.1504755963 4050082.7276895824, 215041.99852594876 4050079.6832068483, 215045.52963539565 4050076.27620924, 215048.70979742278 4050072.5395080056, 215051.5083853313 4050068.5090896217, 215053.89844718986 4050064.22376922, 215055.8569653962 4050059.7248167787, 215057.36507834936 4050055.0555596696, 215058.40826209722 4050050.2609653906, 215080.3426710546 4049918.654511642, 215080.91439360112 4049913.7279399186, 215080.99522498707 4049908.768964026, 215080.58436989703 4049903.826376272, 215058.64996093768 4049739.3183090873, 215057.8191597168 4049734.731441425, 215056.5648002518 4049730.241879314, 215054.89778522713 4049725.8886452834, 215052.8326040611 4049721.709576922, 215050.38720696614 4049717.7409979994, 215047.58284892843 4049714.0174027453, 215044.44390496326 4049710.5711560333, 214956.70626913215 4049622.8335202006, 214953.8904987458 4049620.226029142, 214877.12006739472 4049554.4228022676, 214873.11645891628 4049551.328367794, 214868.82059191875 4049548.6544320616, 214864.2764636503 4049546.4283808847, 214787.506032298 4049513.526767448, 214782.09723307425 4049511.5687093274, 214776.4993340649 4049510.244841008, 214736.22840184707 4049503.1382059106, 214837.24034770572 4049556.523410373)))"
3,agri,"POLYGON ((215313.09011228412 4050048.9018491907, 215278.45818512328 4049905.5614703735, 215185.67760631 4049811.1234405385, 215033.79335356315 4049755.706990186, 215029.10684836307 4049754.253361744, 215024.30042946342 4049753.2660907577, 215019.4203853057 4049752.754685187, 215014.51371338288 4049752.7240701467, 215009.6276676278 4049753.174540477, 215004.80930333206 4049754.1017579013, 215000.10502397784 4049755.49679281, 214995.56013434692 4049757.346210254, 214991.21840421096 4049759.632199332, 214987.12164680456 4049762.33274472, 214984.0372990014 4049764.8319613514, 215000.82745184476 4049845.8754957262, 215000.01011532047 4049849.829079622, 215174.1102112071 4049913.351196929, 215231.79047249592 4050036.5143048796, 215282.8543182692 4050159.853469607, 215287.27845023604 4050179.705921065, 215295.50699598592 4050178.3903497662, 215313.09011228412 4050048.9018491907))"
4,agri,"POLYGON ((213696.6751006503 4050585.4832343752, 213459.5469620814 4050625.9789180583, 213350.6028285518 4050662.0441929013, 213524.20479732964 4050656.637461465, 213689.6396199752 4050674.710676513, 213693.78603642556 4050674.9899239456, 213743.61274028316 4050676.269510136, 213784.32688964324 4050719.126835068, 213787.4680202524 4050722.1567650996, 213790.8614038459 4050724.9012368675, 213929.38423143234 4050827.2665550383, 213935.59988248235 4050831.1881719185, 214064.4396754149 4050899.7922261036, 214097.3819003193 4050946.149781461, 214099.36086910148 4050949.4302659864, 214195.57178205607 4050915.322090629, 214182.03897233168 4050892.889107711, 214179.98330549008 4050889.75361959, 214139.11655130165 4050832.2443643697, 214136.2592923511 4050828.594443725, 214133.07630692006 4050825.224806776, 214129.5949506667 4050822.1644133274, 214125.84514354958 4050819.43956544, 214121.85911268517 4050817.0736813834, 213985.85208020138 4050744.653246565, 213853.8125724871 4050647.0789589635, 213833.59604041625 4050625.79823721, 213696.6751006503 4050585.4832343752))"
4,agri,"POLYGON ((213967.90683643834 4050679.800200369, 213923.55404531583 4050658.6650386294, 213862.74790867814 4050683.6409510225, 213858.30604706486 4050685.7257128907, 213854.08991662596 4050688.2358146342, 213850.14012100233 4050691.1470826003, 213846.49469888496 4050694.4314796873, 213843.18875768167 4050698.0573753556, 213840.25413541344 4050701.9898502487, 213837.71909409694 4050706.1910324823, 213835.60804756585 4050710.620462376, 213833.9413263523 4050715.235482098, 213832.73498189266 4050719.991646486, 213832.00063194355 4050724.8431510767, 213831.74534869642 4050729.7432732284, 213831.9715906685 4050734.6448220867, 213832.6771790259 4050739.500593056, 213833.85531856702 4050744.263822408, 213835.49466316408 4050748.88863764, 213837.57942503243 4050753.3304992537, 213840.0895267756 4050757.5466296924, 213843.0007947417 4050761.496425316, 213846.28519182873 4050765.1418474335, 213849.9110874973 4050768.4477886367, 213853.84356239001 4050771.382410905, 213858.04474462394 4050773.9174522213, 213862.47417451759 4050776.0284987525, 213867.08919423967 4050777.695219966, 213871.84535862747 4050778.901564426, 213876.69686321792 4050779.6359143746, 213881.59698536975 4050779.891197622, 213886.49853422793 4050779.66495565, 213891.35430519748 4050778.9593672925, 213896.1175345496 4050777.781227751, 213900.74234978168 4050776.1418831544, 214069.6064966582 4050706.7815131005, 213967.90683643834 4050679.800200369))"
4,agri,"MULTIPOLYGON (((213300.20332256856 4050678.728634517, 213299.22080937313 4050681.574968267, 213338.897272567 4050665.919244087, 213300.20332256856 4050678.728634517)), ((213042.28493106447 4051482.333877443, 212989.40097824932 4051375.838596416, 212959.9002305875 4051449.590465575, 212841.04545780344 4051558.5406739665, 212778.9490262806 4051593.0386914797, 212820.6022283818 4051633.1409308882, 212863.9721299149 4051660.1995243602, 212894.76583984232 4051643.0919077336, 212899.719207517 4051639.9461531863, 212904.26992471004 4051636.241750937, 213035.8763784538 4051515.602501665, 213039.04119075343 4051512.428920999, 213041.90909918293 4051508.9846863416, 213044.45705992467 4051505.2974723266, 213046.66459996006 4051501.3969059414, 213048.51398157148 4051497.3143284726, 213050.76856857713 4051491.677860958, 213042.28493106447 4051482.333877443)), ((213057.20910607133 4051173.2509832233, 213055.69279756004 4051165.9367050272, 213051.09740937577 4051183.169410719, 213057.20910607133 4051173.2509832233)))"
5,agri,"POLYGON ((211835.67415179446 4052536.738431411, 211888.51115568687 4052475.090197248, 211897.32105650788 4052404.62987581, 211870.90405598708 4052342.9770798725, 211870.9039024245 4052340.1987166004, 211857.0320287477 4052355.8045744873, 211854.19126242228 4052359.306494789, 211851.6775485107 4052363.0501082153, 211849.51133195224 4052367.004966612, 211847.71023136517 4052371.1389036933, 211846.28889574835 4052375.4182966617, 211845.25888533553 4052379.808339676, 211816.19996576433 4052534.7892440646, 211835.67415179446 4052536.738431411))"
6,agri,"POLYGON ((211791.64313483023 4053029.9282894433, 211879.70678659854 4053100.381173502, 211894.37217117142 4053135.5730486186, 212007.33479295502 4053207.3465530695, 212179.14086760354 4053324.1567080193, 212179.1375034894 4053267.7102885786, 212165.76071074486 4053194.135752694, 212062.9172600643 4053124.212966587, 212061.61875649253 4053123.3593209796, 211923.276227015 4053035.4600849454, 211783.5869630136 4052941.441931126, 211791.64313483023 4053029.9282894433))"
6,agri,"POLYGON ((211941.66726124036 4052803.1127320463, 211946.78479145214 4052808.2302622586, 211950.76397802943 4052811.804822447, 211955.10225094602 4052814.9338469687, 212000.0105843547 4052843.803489876, 211989.79019137553 4052809.749892573, 211941.66726124036 4052803.1127320463))"
